Format,1.0B,
Memory Length,10000,Memory Length,10000,
IntpDistance,0,IntpDistance,0,
Trigger Address,4999,Trigger Address,4999,
Trigger Level,-4.000E-02,Trigger Level,-4.000E-02,
Source,CH1,Source,CH2,
Vertical Units,V,Vertical Units,V,
Vertical Units Div,0,Vertical Units Div,0,
Vertical Units Extend Div,16,Vertical Units Extend Div,16,
Label,ACK,Label,,
Probe Type,0,Probe Type,0,
Probe Ratio,1.000e+00,Probe Ratio,1.000e+00,
Vertical Scale,2.000e-01,Vertical Scale,1.000e+00,
Vertical Position,1.600e-02,Vertical Position,8.000e-02,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,5.000E-04,Horizontal Scale,5.000E-04,
Horizontal Position,0.000E+00,Horizontal Position,0.000E+00,
Horizontal Mode,Main,Horizontal Mode,Main,
SincET Mode,Real Time,SincET Mode,Real Time,
Sampling Period,5.000e-07,Sampling Period,5.000e-07,
Horizontal Old Scale,5.000E-04,Horizontal Old Scale,5.000E-04,
Horizontal Old Position,0.000E+00,Horizontal Old Position,0.000E+00,
Firmware,V1.29,Firmware,V1.29,
Mode,Fast,Mode,Fast,
Waveform Data,,Waveform Data,,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,0, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-35, ,0, ,
-37, ,-1, ,
-33, ,0, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-36, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-33, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-34, ,0, ,
-34, ,0, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-35, ,0, ,
-37, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-32, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,0, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-37, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-37, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,0, ,
-36, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,0, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-36, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-36, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,0, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-33, ,0, ,
-36, ,-1, ,
-34, ,0, ,
-35, ,0, ,
-35, ,-1, ,
-35, ,0, ,
-35, ,0, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-36, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-35, ,0, ,
-35, ,0, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,0, ,
-36, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-35, ,-1, ,
-34, ,-1, ,
-36, ,0, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-36, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,0, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-36, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-36, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,0, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-33, ,0, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-33, ,0, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,0, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,0, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,0, ,
-35, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-34, ,-1, ,
-36, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-36, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,0, ,
-34, ,0, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,0, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-33, ,0, ,
-34, ,0, ,
-35, ,0, ,
-33, ,-1, ,
-36, ,0, ,
-34, ,0, ,
-34, ,0, ,
-35, ,0, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,0, ,
-35, ,-1, ,
-36, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-34, ,-1, ,
-34, ,0, ,
-34, ,-1, ,
-37, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-35, ,-1, ,
-33, ,0, ,
-34, ,-1, ,
-36, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-34, ,0, ,
-35, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,0, ,
-35, ,-1, ,
-36, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,0, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-36, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-33, ,0, ,
-34, ,-1, ,
-34, ,-1, ,
-36, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-35, ,0, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,0, ,
-35, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,0, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-33, ,0, ,
-34, ,0, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-33, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,0, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,0, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,0, ,
-35, ,-1, ,
-34, ,0, ,
-33, ,0, ,
-35, ,0, ,
-34, ,0, ,
-33, ,-1, ,
-35, ,-1, ,
-33, ,0, ,
-34, ,0, ,
-33, ,0, ,
-34, ,0, ,
-33, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-37, ,0, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,0, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-37, ,-1, ,
-36, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,0, ,
-35, ,0, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-37, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-36, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,0, ,
-34, ,-1, ,
-32, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,0, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-36, ,-1, ,
-35, ,-1, ,
-35, ,0, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,0, ,
-33, ,0, ,
-34, ,-1, ,
-33, ,0, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,0, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,0, ,
-36, ,-1, ,
-33, ,0, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-37, ,0, ,
-35, ,0, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-32, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,0, ,
-33, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-37, ,-1, ,
-35, ,-1, ,
-33, ,0, ,
-35, ,0, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,0, ,
-33, ,-1, ,
-34, ,0, ,
-35, ,0, ,
-34, ,-1, ,
-34, ,0, ,
-36, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-34, ,0, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,0, ,
-33, ,0, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-35, ,-1, ,
-36, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-33, ,-1, ,
-34, ,-1, ,
-33, ,0, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-36, ,0, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,0, ,
-36, ,-1, ,
-36, ,0, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,0, ,
-33, ,-1, ,
-35, ,0, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-36, ,-1, ,
-33, ,-1, ,
-34, ,0, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-32, ,0, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-34, ,-1, ,
-34, ,0, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,0, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-36, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-33, ,0, ,
-35, ,0, ,
-35, ,0, ,
-35, ,-1, ,
-33, ,-1, ,
-35, ,0, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,0, ,
-34, ,-1, ,
-35, ,0, ,
-35, ,-1, ,
-34, ,-1, ,
-36, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-36, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,0, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-37, ,-1, ,
-35, ,-1, ,
-34, ,0, ,
-34, ,-1, ,
-36, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,0, ,
-36, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-33, ,0, ,
-35, ,0, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-36, ,-1, ,
-33, ,-1, ,
-34, ,0, ,
-35, ,0, ,
-34, ,0, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,0, ,
-34, ,0, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-36, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-37, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-36, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-36, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,0, ,
-33, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,0, ,
-33, ,-1, ,
-35, ,0, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-36, ,-1, ,
-32, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-35, ,0, ,
-33, ,-1, ,
-34, ,0, ,
-34, ,0, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,0, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-36, ,-1, ,
-36, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,0, ,
-34, ,0, ,
-35, ,-1, ,
-33, ,0, ,
-33, ,0, ,
-33, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-37, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,0, ,
-34, ,-1, ,
-35, ,0, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-32, ,0, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,0, ,
-35, ,-1, ,
-34, ,0, ,
-36, ,-1, ,
-34, ,0, ,
-35, ,-1, ,
-34, ,0, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,0, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-33, ,0, ,
-33, ,-1, ,
-34, ,0, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-35, ,0, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-34, ,0, ,
-34, ,0, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,0, ,
-33, ,0, ,
-35, ,0, ,
-35, ,0, ,
-34, ,0, ,
-33, ,-1, ,
-34, ,0, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,0, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-33, ,-1, ,
-36, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-36, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-35, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-34, ,0, ,
-34, ,0, ,
-35, ,-1, ,
-33, ,-1, ,
-35, ,-1, ,
-35, ,-1, ,
-34, ,0, ,
-34, ,0, ,
-34, ,-1, ,
-34, ,-1, ,
-34, ,0, ,
-33, ,0, ,
-34, ,0, ,
-35, ,0, ,
-35, ,-1, ,
-33, ,-1, ,
-34, ,-1, ,
-36, ,-1, ,
